branch_ch,board,digi_ch,global_chip,type,notes
0,0,0,0,unused,
1,0,1,0,unused,
2,0,2,0,unused,
3,0,3,0,crilin,
4,0,4,0,crilin,
5,0,5,0,unused,
6,0,6,0,unused,
7,0,7,0,unused,
8,0,8,1,unused,
9,0,9,1,unused,scint
10,0,10,1,unused,crystal
11,0,11,1,unused,
12,0,12,1,unused,
13,0,13,1,unused,
14,0,14,1,unused,
15,0,15,1,unused,
16,0,16,2,unused,
17,0,17,2,unused,
18,0,18,2,unused,
19,0,19,2,unused,
20,0,20,2,unused,
21,0,21,2,unused,
22,0,22,2,unused,
23,0,23,2,unused,
24,0,24,3,unused,
25,0,25,3,unused,
26,0,26,3,unused,
27,0,27,3,unused,
28,0,28,3,unused,
29,0,29,3,unused,
30,0,30,3,unused,
31,0,31,3,unused,
0,0,-100,0,trigger,
1,0,-101,1,unused,
2,0,-102,2,unused,trigger
3,0,-103,3,unused,trigger
