branch_ch,board,digi_ch,global_chip,type,notes,x,y,z
0,0,0,0,tracker_d,,-9.3,9.3,-18.6
1,0,1,0,tracker_d,,-9.3,3.1,-18.6
2,0,2,0,tracker_d,,-9.3,-3.1,-18.6
3,0,3,0,tracker_d,,-9.3,-9.3,-18.6
4,0,4,0,tracker_d,,-3.1,9.3,-18.6
5,0,5,0,tracker_d,,-3.1,3.1,-18.6
6,0,6,0,tracker_d,,-3.1,-3.1,-18.6
7,0,7,0,tracker_d,,-3.1,-9.3,-18.6
8,0,8,1,tracker_d,,3.1,9.3,-18.6
9,0,9,1,tracker_d,,3.1,3.1,-18.6
10,0,10,1,tracker_d,,3.1,-3.1,-18.6
11,0,11,1,tracker_d,,3.1,-9.3,-18.6
12,0,12,1,tracker_d,,9.3,9.3,-18.6
13,0,13,1,tracker_d,,9.3,3.1,-18.6
14,0,14,1,tracker_d,,9.3,-3.1,-18.6
15,0,15,1,tracker_d,,9.3,-9.3,-18.6
16,0,16,2,tracker_u,,-9.3,9.3,-11.6
17,0,17,2,tracker_u,,-9.3,3.1,-11.6
18,0,18,2,tracker_u,,-9.3,-3.1,-11.6
19,0,19,2,tracker_u,,-9.3,-9.3,-11.6
20,0,20,2,tracker_u,,-3.1,9.3,-11.6
21,0,21,2,tracker_u,,-3.1,3.1,-11.6
22,0,22,2,tracker_u,,-3.1,-3.1,-11.6
23,0,23,2,tracker_u,,-3.1,-9.3,-11.6
24,0,24,3,tracker_u,,3.1,9.3,-11.6
25,0,25,3,tracker_u,,3.1,3.1,-11.6
26,0,26,3,tracker_u,,3.1,-3.1,-11.6
27,0,27,3,tracker_u,,3.1,-9.3,-11.6
28,0,28,3,tracker_u,,9.3,9.3,-11.6
29,0,29,3,tracker_u,,9.3,3.1,-11.6
30,0,30,3,tracker_u,,9.3,-3.1,-11.6
31,0,31,3,tracker_u,,9.3,-9.3,-11.6
0,0,-100,0,trigger,,,,
1,0,-101,1,trigger,,,,
2,0,-102,2,trigger,,,,
3,0,-103,3,trigger,,,,
32,1,0,4,crilin,,-10,-10,-2.5
33,1,1,4,crilin,,0,-10,-2.5
34,1,2,4,unused,,,,
35,1,3,4,crilin,,-10,0,-2.5
36,1,4,4,unused,,,,
37,1,5,4,crilin,,0,0,-2.5
38,1,6,4,crilin,,10,0,-2.5
39,1,7,4,crilin,,-10,10,-2.5
40,1,8,5,crilin,,0,10,-2.5
41,1,9,5,crilin,,10,10,-2.5
42,1,10,5,tagger,scint,,,
43,1,11,5,beamcatcher,crystal,,,
44,1,12,5,crilin,,10,-10,-2.5
45,1,13,5,unused,,,,
46,1,14,5,unused,,,,
47,1,15,5,unused,,,,
48,1,16,6,unused,,,,
49,1,17,6,unused,,,,
50,1,18,6,unused,,,,
51,1,19,6,unused,,,,
52,1,20,6,unused,,,,
53,1,21,6,unused,,,,
54,1,22,6,unused,,,,
55,1,23,6,unused,,,,
56,1,24,7,unused,,,,
57,1,25,7,unused,,,,
58,1,26,7,unused,,,,
59,1,27,7,unused,,,,
60,1,28,7,unused,,,,
61,1,29,7,unused,,,,
62,1,30,7,unused,,,,
63,1,31,7,unused,,,,
4,1,-100,4,trigger,,,,
5,1,-101,5,trigger,,,,
6,1,-102,6,unused,trigger,,,
7,1,-103,7,unused,trigger,,,
